,importance,feature
0,0.306,H3_length
8,0.191,"L3-9,10-A"
3,0.122,L1-12-B
9,0.097,None
4,0.093,L1-13-A
7,0.081,L3-5-A
1,0.043,H1-13-C
2,0.039,None
5,0.024,L1-14-B
6,0.005,L3-10-B
