,importance,feature
6,0.182,L1_avg_epitope_SIN
5,0.13,H3_avg_epitope_SIN
8,0.109,avg_epitope_SIN
7,0.104,L2_avg_epitope_SIN
9,0.091,avg_paratope_SIN
0,0.086,H1_total_epitope_SIN
4,0.078,H2_avg_epitope_SIN
2,0.076,H1_avg_epitope_SIN
3,0.073,H2_avg_SIN
1,0.072,L2_total_epitope_SIN
