,importance,feature
387,0.022,YI
88,0.02,FK
143,0.018,IE
315,0.016,SS
134,0.016,HR
15,0.015,AS
139,0.014,HY
293,0.014,RQ
285,0.011,RG
174,0.011,KR
138,0.011,HW
228,0.011,NK
103,0.01,GE
159,0.01,IY
229,0.01,NL
388,0.01,YK
384,0.01,YF
51,0.01,DN
375,0.009,WS
394,0.009,YR
288,0.009,RK
362,0.009,WD
333,0.009,TQ
294,0.009,RR
308,0.009,SK
336,0.009,TT
283,0.009,RE
305,0.009,SG
194,0.009,LR
239,0.008,NY
323,0.008,TE
292,0.008,RP
385,0.008,YG
178,0.008,KW
227,0.008,NI
324,0.008,TF
278,0.008,QW
148,0.007,IK
94,0.007,FR
54,0.007,DR
124,0.007,HF
399,0.007,YY
299,0.007,RY
354,0.007,VR
329,0.007,TL
58,0.007,DW
66,0.007,EH
106,0.007,GH
48,0.007,DK
390,0.007,YM
231,0.006,NN
379,0.006,WY
381,0.006,YC
266,0.006,QH
386,0.006,YH
213,0.006,MQ
108,0.006,GK
370,0.006,WM
396,0.006,YT
247,0.005,PI
9,0.005,AL
144,0.005,IF
274,0.005,QR
391,0.005,YN
382,0.005,YD
43,0.005,DE
389,0.005,YL
383,0.005,YE
392,0.005,YP
102,0.005,GD
397,0.005,YV
309,0.005,SL
287,0.005,RI
74,0.005,ER
264,0.005,QF
334,0.005,TR
373,0.005,WQ
95,0.005,FS
304,0.005,SF
99,0.004,FY
188,0.004,LK
131,0.004,HN
302,0.004,SD
83,0.004,FE
376,0.004,WT
185,0.004,LG
128,0.004,HK
398,0.004,YW
312,0.004,SP
393,0.004,YQ
374,0.004,WR
251,0.004,PN
150,0.004,IM
311,0.004,SN
214,0.004,MR
46,0.004,DH
176,0.004,KT
42,0.004,DD
115,0.004,GS
84,0.004,FF
367,0.004,WI
328,0.004,TK
151,0.004,IN
235,0.003,NS
291,0.003,RN
80,0.003,FA
164,0.003,KF
268,0.003,QK
289,0.003,RL
175,0.003,KS
368,0.003,WK
395,0.003,YS
168,0.003,KK
298,0.003,RW
169,0.003,KL
145,0.003,IG
365,0.003,WG
162,0.003,KD
53,0.003,DQ
259,0.003,PY
317,0.003,SV
364,0.003,WF
279,0.003,QY
258,0.003,PW
114,0.003,GR
262,0.003,QD
338,0.003,TW
322,0.003,TD
296,0.003,RT
237,0.003,NV
238,0.003,NW
79,0.003,EY
272,0.003,QP
44,0.002,DF
222,0.002,ND
331,0.002,TN
319,0.002,SY
111,0.002,GN
192,0.002,LP
372,0.002,WP
135,0.002,HS
314,0.002,SR
149,0.002,IL
280,0.002,RA
335,0.002,TS
303,0.002,SE
223,0.002,NE
318,0.002,SW
295,0.002,RS
339,0.002,TY
249,0.002,PL
158,0.002,IW
93,0.002,FQ
56,0.002,DT
211,0.002,MN
306,0.002,SH
3,0.002,AE
142,0.002,ID
19,0.002,AY
68,0.002,EK
371,0.002,WN
118,0.002,GW
219,0.002,MY
116,0.002,GT
369,0.002,WL
89,0.002,FL
301,0.002,SC
190,0.002,LM
290,0.002,RM
147,0.002,II
98,0.002,FW
155,0.002,IS
380,0.002,YA
119,0.002,GY
366,0.002,WH
377,0.002,WV
154,0.002,IR
47,0.001,DI
378,0.001,WW
85,0.001,FG
225,0.001,NG
310,0.001,SM
92,0.001,FP
224,0.001,NF
87,0.001,FI
112,0.001,GP
122,0.001,HD
282,0.001,RD
254,0.001,PR
52,0.001,DP
161,0.001,KC
234,0.001,NR
179,0.001,KY
4,0.001,AF
363,0.001,WE
284,0.001,RF
171,0.001,KN
286,0.001,RH
136,0.001,HT
248,0.001,PK
69,0.001,EL
276,0.001,QT
113,0.001,GQ
206,0.001,MH
