,importance,feature
19,0.096,L1_avg_epitope_SIN
24,0.08,avg_epitope_SIN
17,0.057,H3_avg_epitope_SIN
6,0.049,L1_total_SIN
5,0.046,H3_total_epitope_SIN
25,0.04,avg_paratope_SIN
18,0.039,L1_avg_SIN
21,0.039,L2_avg_epitope_SIN
13,0.038,H1_avg_epitope_SIN
15,0.038,H2_avg_epitope_SIN
9,0.036,L2_total_epitope_SIN
16,0.036,H3_avg_SIN
23,0.034,L3_avg_epitope_SIN
3,0.033,H2_total_epitope_SIN
1,0.033,H1_total_epitope_SIN
8,0.032,L2_total_SIN
7,0.031,L1_total_epitope_SIN
11,0.031,L3_total_epitope_SIN
0,0.03,H1_total_SIN
4,0.03,H3_total_SIN
22,0.027,L3_avg_SIN
14,0.026,H2_avg_SIN
10,0.026,L3_total_SIN
12,0.026,H1_avg_SIN
20,0.025,L2_avg_SIN
2,0.023,H2_total_SIN
