,importance,feature
4,0.249,L2_multivalent
1,0.135,H2_multivalent
5,0.133,L3_multivalent
6,0.132,num_CDRs_multivalent
2,0.124,H3_multivalent
3,0.118,L1_multivalent
0,0.11,H1_multivalent
