,importance,feature
417,0.029,L3_length
422,0.027,H1-13-B
415,0.02,L1_length
293,0.019,RQ
392,0.019,YP
439,0.018,L1-12-B
357,0.015,VV
448,0.015,
431,0.013,H2-10-B
384,0.013,YF
404,0.012,shape_similarity
277,0.011,QV
402,0.009,epitope_total_energy
351,0.008,VN
385,0.008,YG
340,0.008,VA
287,0.008,RI
267,0.007,QI
303,0.007,SE
420,0.006,H3_length
394,0.006,YR
403,0.006,interaction_total_energy
388,0.006,YK
260,0.006,QA
253,0.006,PQ
383,0.006,YE
270,0.006,QM
407,0.006,interface_dg
376,0.006,WT
441,0.006,L1-13-B
399,0.006,YY
396,0.005,YT
447,0.005,None
413,0.005,l2_interaction_energy
298,0.005,RW
423,0.005,H1-13-C
390,0.005,YM
375,0.005,WS
278,0.005,QW
273,0.005,QQ
379,0.005,WY
416,0.005,L2_length
434,0.005,None
377,0.005,WV
387,0.004,YI
418,0.004,H1_length
308,0.004,SK
322,0.004,TD
189,0.004,LL
266,0.004,QH
432,0.004,H2-12-A
398,0.004,YW
370,0.004,WM
307,0.004,SI
312,0.004,SP
191,0.004,LN
435,0.004,L1-10-A
372,0.004,WP
401,0.004,epitope_sasa
190,0.004,LM
195,0.004,LS
350,0.004,VM
183,0.004,LE
185,0.004,LG
433,0.004,H2-9-A
184,0.004,LF
187,0.004,LI
419,0.004,H2_length
271,0.004,QN
196,0.004,LT
192,0.004,LP
425,0.004,H1-14-A
321,0.004,TC
373,0.004,WQ
133,0.004,HQ
315,0.004,SS
393,0.004,YQ
199,0.003,LY
274,0.003,QR
386,0.003,YH
245,0.003,PG
186,0.003,LH
276,0.003,QT
197,0.003,LV
194,0.003,LR
181,0.003,LC
180,0.003,LA
395,0.003,YS
198,0.003,LW
437,0.003,L1-11-B
424,0.003,H1-13-D
352,0.003,VP
290,0.003,RM
406,0.003,dSASA
409,0.003,h1_interaction_energy
141,0.003,IC
275,0.003,QS
200,0.003,MA
182,0.003,LD
193,0.003,LQ
282,0.003,RD
249,0.003,PL
291,0.003,RN
261,0.003,QC
268,0.003,QK
427,0.003,H1-15-B
188,0.003,LK
144,0.003,IF
222,0.003,ND
426,0.003,H1-15-A
178,0.003,KW
380,0.003,YA
176,0.003,KT
408,0.003,interface_num_res
201,0.003,MC
430,0.003,H2-10-A
252,0.003,PP
242,0.003,PD
179,0.003,KY
443,0.003,L1-14-B
143,0.003,IE
414,0.003,l3_interaction_energy
389,0.003,YL
446,0.003,"L1-16,17-A"
381,0.002,YC
177,0.002,KV
147,0.002,II
142,0.002,ID
202,0.002,MD
138,0.002,HW
204,0.002,MF
391,0.002,YN
445,0.002,L1-15-A
136,0.002,HT
272,0.002,QP
241,0.002,PC
382,0.002,YD
139,0.002,HY
140,0.002,IA
378,0.002,WW
137,0.002,HV
117,0.002,GV
374,0.002,WR
146,0.002,IH
205,0.002,MG
174,0.002,KR
251,0.002,PN
129,0.002,HL
171,0.002,KN
256,0.002,PT
26,0.002,CH
203,0.002,ME
173,0.002,KQ
145,0.002,IG
440,0.002,L1-13-A
341,0.002,VC
134,0.002,HR
148,0.002,IK
150,0.002,IM
248,0.002,PK
411,0.002,h3_interaction_energy
405,0.002,sc_total
345,0.002,VG
25,0.002,CG
207,0.002,MI
206,0.002,MH
295,0.002,RS
152,0.002,IP
27,0.002,CI
175,0.002,KS
310,0.002,SM
436,0.002,L1-11-A
125,0.002,HG
159,0.002,IY
168,0.002,KK
233,0.002,NQ
400,0.002,epitope_num_res
169,0.002,KL
162,0.002,KD
122,0.002,HD
170,0.002,KM
209,0.002,ML
149,0.002,IL
217,0.002,MV
286,0.002,RH
208,0.002,MK
172,0.002,KP
123,0.002,HE
254,0.002,PR
24,0.002,CF
128,0.002,HK
130,0.002,HM
211,0.002,MN
7,0.002,AI
444,0.002,L1-14-C
126,0.002,HH
118,0.002,GW
153,0.002,IQ
56,0.002,DT
313,0.002,SQ
29,0.001,CL
257,0.001,PV
63,0.001,EE
166,0.001,KH
28,0.001,CK
151,0.001,IN
167,0.001,KI
154,0.001,IR
262,0.001,QD
292,0.001,RP
75,0.001,ES
71,0.001,EN
68,0.001,EK
77,0.001,EV
131,0.001,HN
410,0.001,h2_interaction_energy
421,0.001,H1-13-A
73,0.001,EQ
114,0.001,GR
279,0.001,QY
429,0.001,None
218,0.001,MW
132,0.001,HP
45,0.001,DG
120,0.001,HA
57,0.001,DV
368,0.001,WK
53,0.001,DQ
116,0.001,GT
67,0.001,EI
23,0.001,CE
72,0.001,EP
247,0.001,PI
127,0.001,HI
428,0.001,H1-15-C
397,0.001,YV
165,0.001,KG
124,0.001,HF
155,0.001,IS
61,0.001,EC
161,0.001,KC
115,0.001,GS
121,0.001,HC
