,importance,feature
367,0.03,WI
372,0.028,WP
365,0.02,WG
342,0.018,VD
389,0.017,YL
398,0.015,YW
334,0.013,TR
354,0.012,VR
307,0.012,SI
381,0.011,YC
352,0.01,VP
335,0.009,TS
370,0.007,WM
353,0.007,VQ
349,0.006,VL
344,0.006,VF
338,0.006,TW
357,0.006,VV
326,0.006,TH
397,0.006,YV
301,0.006,SC
333,0.006,TQ
346,0.006,VH
340,0.006,VA
384,0.006,YF
391,0.006,YN
373,0.005,WQ
325,0.005,TG
337,0.005,TV
366,0.005,WH
327,0.005,TI
290,0.005,RM
329,0.005,TL
351,0.005,VN
343,0.005,VE
348,0.005,VK
382,0.005,YD
363,0.005,WE
185,0.005,LG
191,0.005,LN
193,0.004,LQ
375,0.004,WS
323,0.004,TE
183,0.004,LE
262,0.004,QD
374,0.004,WR
190,0.004,LM
368,0.004,WK
178,0.004,KW
188,0.004,LK
272,0.004,QP
345,0.004,VG
380,0.004,YA
341,0.004,VC
253,0.004,PQ
336,0.004,TT
369,0.004,WL
182,0.004,LD
258,0.004,PW
187,0.004,LI
197,0.004,LV
186,0.004,LH
260,0.004,QA
266,0.004,QH
195,0.004,LS
322,0.004,TD
199,0.004,LY
396,0.004,YT
359,0.003,VY
383,0.003,YE
376,0.003,WT
196,0.003,LT
377,0.003,WV
184,0.003,LF
144,0.003,IF
385,0.003,YG
330,0.003,TM
259,0.003,PY
194,0.003,LR
320,0.003,TA
181,0.003,LC
263,0.003,QE
189,0.003,LL
302,0.003,SD
179,0.003,KY
256,0.003,PT
247,0.003,PI
358,0.003,VW
271,0.003,QN
175,0.003,KS
198,0.003,LW
192,0.003,LP
355,0.003,VS
255,0.003,PS
180,0.003,LA
332,0.003,TP
364,0.003,WF
249,0.003,PL
393,0.003,YQ
250,0.003,PM
356,0.003,VT
268,0.003,QK
201,0.003,MC
200,0.003,MA
300,0.003,SA
339,0.003,TY
134,0.003,HR
254,0.003,PR
257,0.003,PV
149,0.003,IL
331,0.003,TN
270,0.003,QM
147,0.003,II
248,0.003,PK
251,0.003,PN
177,0.003,KV
173,0.003,KQ
328,0.003,TK
143,0.003,IE
246,0.003,PH
167,0.003,KI
275,0.003,QS
395,0.002,YS
130,0.002,HM
252,0.002,PP
273,0.002,QQ
264,0.002,QF
269,0.002,QL
141,0.002,IC
146,0.002,IH
387,0.002,YI
174,0.002,KR
176,0.002,KT
261,0.002,QC
243,0.002,PE
161,0.002,KC
139,0.002,HY
265,0.002,QG
244,0.002,PF
126,0.002,HH
140,0.002,IA
133,0.002,HQ
171,0.002,KN
203,0.002,ME
242,0.002,PD
28,0.002,CK
235,0.002,NS
132,0.002,HP
295,0.002,RS
208,0.002,MK
274,0.002,QR
394,0.002,YR
267,0.002,QI
150,0.002,IM
136,0.002,HT
245,0.002,PG
202,0.002,MD
324,0.002,TF
151,0.002,IN
232,0.002,NP
361,0.002,WC
234,0.002,NR
120,0.002,HA
205,0.002,MG
204,0.002,MF
238,0.002,NW
296,0.002,RT
127,0.002,HI
278,0.002,QW
239,0.002,NY
172,0.002,KP
131,0.002,HN
241,0.002,PC
226,0.002,NH
240,0.002,PA
54,0.002,DR
392,0.002,YP
