,importance,feature
185,0.02,LG
186,0.018,LH
187,0.018,LI
188,0.018,LK
184,0.017,LF
183,0.016,LE
198,0.014,LW
189,0.013,LL
199,0.012,LY
182,0.011,LD
194,0.011,LR
174,0.011,KR
176,0.011,KT
191,0.011,LN
192,0.01,LP
170,0.01,KM
190,0.01,LM
195,0.01,LS
173,0.01,KQ
171,0.01,KN
172,0.009,KP
175,0.009,KS
178,0.009,KW
168,0.009,KK
196,0.009,LT
169,0.009,KL
193,0.009,LQ
180,0.008,LA
100,0.008,GA
167,0.008,KI
181,0.008,LC
101,0.008,GC
179,0.008,KY
102,0.008,GD
177,0.008,KV
166,0.008,KH
197,0.008,LV
98,0.007,FW
103,0.007,GE
139,0.007,HY
135,0.007,HS
99,0.007,FY
137,0.007,HV
105,0.007,GG
104,0.007,GF
165,0.007,KG
97,0.007,FV
164,0.007,KF
136,0.006,HT
106,0.006,GH
107,0.006,GI
96,0.006,FT
163,0.006,KE
140,0.006,IA
161,0.006,KC
134,0.006,HR
138,0.006,HW
108,0.006,GK
159,0.006,IY
95,0.006,FS
131,0.005,HN
157,0.005,IV
160,0.005,KA
133,0.005,HQ
162,0.005,KD
141,0.005,IC
142,0.005,ID
94,0.005,FR
74,0.005,ER
70,0.005,EM
71,0.005,EN
144,0.005,IF
132,0.005,HP
143,0.005,IE
146,0.005,IH
77,0.005,EV
127,0.005,HI
130,0.005,HM
72,0.005,EP
76,0.005,ET
129,0.005,HL
124,0.005,HF
80,0.005,FA
78,0.005,EW
84,0.005,FF
93,0.004,FQ
29,0.004,CL
33,0.004,CQ
155,0.004,IS
69,0.004,EL
110,0.004,GM
79,0.004,EY
86,0.004,FH
151,0.004,IN
147,0.004,II
32,0.004,CP
154,0.004,IR
75,0.004,ES
73,0.004,EQ
158,0.004,IW
122,0.004,HD
153,0.004,IQ
109,0.004,GL
65,0.004,EG
26,0.004,CH
145,0.004,IG
128,0.004,HK
152,0.004,IP
82,0.004,FD
92,0.004,FP
111,0.004,GN
68,0.004,EK
125,0.004,HG
67,0.004,EI
83,0.004,FE
27,0.004,CI
66,0.003,EH
63,0.003,EE
12,0.003,AP
90,0.003,FM
89,0.003,FL
11,0.003,AN
149,0.003,IL
34,0.003,CR
88,0.003,FK
4,0.003,AF
35,0.003,CS
126,0.003,HH
148,0.003,IK
30,0.003,CM
121,0.003,HC
112,0.003,GP
64,0.003,EF
37,0.003,CV
85,0.003,FG
16,0.003,AT
87,0.003,FI
28,0.003,CK
3,0.003,AE
123,0.003,HE
53,0.003,DQ
61,0.003,EC
15,0.003,AS
36,0.003,CT
24,0.003,CF
31,0.003,CN
18,0.003,AW
156,0.003,IT
21,0.003,CC
60,0.003,EA
39,0.003,CY
40,0.003,DA
22,0.003,CD
91,0.003,FN
41,0.003,DC
81,0.003,FC
17,0.003,AV
42,0.003,DD
38,0.003,CW
113,0.003,GQ
62,0.003,ED
25,0.003,CG
14,0.002,AR
56,0.002,DT
23,0.002,CE
119,0.002,GY
2,0.002,AD
58,0.002,DW
150,0.002,IM
13,0.002,AQ
20,0.002,CA
59,0.002,DY
43,0.002,DE
118,0.002,GW
45,0.002,DG
120,0.002,HA
52,0.002,DP
19,0.002,AY
10,0.002,AM
114,0.002,GR
116,0.002,GT
46,0.002,DH
55,0.002,DS
57,0.002,DV
50,0.002,DM
49,0.002,DL
115,0.002,GS
5,0.002,AG
117,0.002,GV
54,0.002,DR
51,0.001,DN
44,0.001,DF
48,0.001,DK
47,0.001,DI
6,0.001,AH
1,0.001,AC
9,0.001,AL
8,0.001,AK
7,0.001,AI
0,0.0,AA
